userName,content
Uman Rukmana,"ribet mau cek tarif aja susah udah cape ngisi semua data klik tombol cek tarif keterangan layanan yang anda pilih tidak tersedia, semua pilihan possomeday, nextdaydn reguler sama aja hasilnya nihil. Sampah swasta aja jelas"
Eko Dwi Istiyanto,"Ya beginilah kwalitas BUMN di negeri ini, gimana negara ga rugi terus, sekedar ngirim paket dari grobogan ke Bekasi aja udah 5 hari ga sampe, padahal kalo pake produk swasta paling 2 hari sampe, kapok-kapok"
fanny skylar,2 kali beli paket pengiriman pake pos lama banget stuck stuck pos pengiriman deket aja kelamaaannnnnnnnnnn g usah pada pake dah daripada nyesel apalagi kalo beli beli hewan hidup
Steady Flashing,"Pelayanan PoS ID yang sangat lambat, lelet, kurirnya loyo, status pesanan sudah diantarkan ,masa sih sampai 3 hari ga sampai padahal cuma satu kota, alamat tidak ditemukan lah alasan klasik"
Erna Dwi,"apk yang tidak rekomendasi, pernah mau kirim lewat apk, tapi kecepatan pickup lama. untuk pengembalian dana sudah by email, datang ke kantor pos. Sampai saat ini tidak ada tindaklanjut untuk pengembalian dana saya, dan saya tidak dibantu. Malah sekarang di apk oleh cs paket sudah diterima. Padahal hal tersebut saya yang mengirim sendiri,karena kecepatan kurir yang tidak memungkinkan.saya meminta pengembalian dana, sampai saat ini tidak ada tindak lanjut.kurang rekomendasi dari segi pelayanan/apk"
Lady Lia,sangat tidak nyaman. kayaknya emang aplikasi nya gak bisa berfungsi semestinya. gak ada efek pas dipakai. udah pilih menu ini itu eh susah ahirnya paket gak di pick up. dan aneh pas batal order jg poin jd nol. trs menu lain yg di klik jg gak berfungsi semestinya. nyebelin install ini
Bucuk RZ,"info dari pos pengirim dan pos penerima paket berbeda²... pos pengirim bilang estimasi 7 hari, sudah 10 hari paket tak kunjung sampai. ditanya ke pos penerima, dibilang itu 3 minggu dan kesalahan pos pengirim memberikan info estimasi. LUAR BIASA."
Ranita Agrivina,resi aku sempat tidak kebaca di apps tapi kebaca di web tolong dibenahi min nyampe paketnya datang resi terus tidak terbaca di apps
Riyan Sahputra,"baru pertama pakai pos eh bisa2 nya paket saya salah kirim ke lokasi lain dan memakai 10hari ,gila bener ini .dikira paket dari luar negeri? dalam negeri bisa salah kirim cukup bintang yang bicara.lain waktu tidak saya pakai jasa pos"
Zulkarnaenadis 3,"nggak niat aplikasi ini sumpah sudah pakai sameday malah paket gak diambil2. komplain ke email juga malahan bilang orderan tidak terdeteksi, rugi sudah bayar lagi"
Ferry MV,"mau kirim paket dokumen dengan fitur pickup, tapi pas mau bayar gagal terus. padahal udah sesuai arahan dari aplikasi. pake QRIS juga keluar atau crash terus aplikasinya. tolong lah inu diperbaiki. karena akun saya belum bisa pakai fitur COD. terimakasih"
Yan Conspiracy,"tidak dapat utk cek no resi, justru via web malah bisa utk cek resi. Ga' sinkron antara aplikasi dg web..."
Jakoy,"ga bisa cek no resi ga jls paket ntah k mana dan ga ada no yg bisa d hubungin, nyesel kirim pake pos"
